,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_logistic__C,param_logistic__class_weight,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,16.6258341789,0.650289440155,0.818597191935,0.858155887768,0.01,,500,"{'logistic__C': 0.01, 'pca__n_components': 500, 'logistic__class_weight': None}",14,0.81268017167,0.858821956065,0.818805135835,0.858001388326,0.804862892427,0.860152570914,0.826896352821,0.856705676016,0.829741406923,0.857097847522,7.26139789526,0.287659717918,0.00912967635314,0.00123909837606
1,79.0829809189,1.26611433029,0.819903287251,0.863503399176,0.01,,1000,"{'logistic__C': 0.01, 'pca__n_components': 1000, 'logistic__class_weight': None}",13,0.813876152034,0.864255235579,0.820122744087,0.863495760881,0.805869969601,0.865355377404,0.828425250585,0.861872131157,0.831222319945,0.862538490857,4.11718267167,0.354322458408,0.00931721937786,0.00123184602056
2,52.1929654121,1.01781439781,0.867479467914,0.944640880018,1.0,,500,"{'logistic__C': 1.0, 'pca__n_components': 500, 'logistic__class_weight': None}",2,0.854952492922,0.945561157164,0.874260389158,0.943039858,0.859637845798,0.945056638489,0.877824858283,0.944180442634,0.870721753407,0.945366303801,6.80659635829,0.263095264729,0.0087399834083,0.000929653578779
3,107.647695923,1.4971060276,0.870199242937,0.96144502126,1.0,,1000,"{'logistic__C': 1.0, 'pca__n_components': 1000, 'logistic__class_weight': None}",1,0.857318128657,0.961952549356,0.877076152012,0.960421422533,0.862397216701,0.961169292581,0.879440853277,0.961308679095,0.874763864038,0.962373162735,9.36828735413,0.242161132582,0.00872157926518,0.000672517837611
4,69.3928344727,1.12902812958,0.847313796056,0.972584170434,100.0,,500,"{'logistic__C': 100.0, 'pca__n_components': 500, 'logistic__class_weight': None}",3,0.837825595307,0.973385822831,0.858071555658,0.970644523319,0.838763161206,0.974817283878,0.854186691386,0.971646485967,0.847721976725,0.972426736176,6.43924984582,0.0620909622507,0.0080780195979,0.0014349711394
5,142.947730446,1.6393198967,0.840319264201,0.998567683085,100.0,,1000,"{'logistic__C': 100.0, 'pca__n_components': 1000, 'logistic__class_weight': None}",8,0.825789723388,0.998650585945,0.848602387623,0.998585353419,0.833035159221,0.998809878955,0.845159437834,0.998301355048,0.849009612938,0.99849124206,8.23567751621,0.189249670828,0.00929220444442,0.000168889205017
6,75.5054522514,1.03216934204,0.842317497613,0.972791643436,10000.0,,500,"{'logistic__C': 10000.0, 'pca__n_components': 500, 'logistic__class_weight': None}",4,0.833862553542,0.973655114473,0.855262894411,0.970816362912,0.832311796616,0.97507551329,0.849428664042,0.971830747225,0.840721579456,0.972580479282,4.4078638623,0.0860816543682,0.00885775448608,0.00147182123355
7,245.008763409,1.02373261452,0.825707765928,0.999990291154,10000.0,,1000,"{'logistic__C': 10000.0, 'pca__n_components': 1000, 'logistic__class_weight': None}",9,0.810500511394,0.999991681366,0.834160012098,0.999989851266,0.816902371183,0.99998976808,0.831542831535,0.999990220604,0.83543310343,0.999989934453,12.6432021086,0.356493582411,0.0100882725237,7.11619226419e-07
8,75.7981420517,1.32414102554,0.841295221662,0.972795338608,1000000.0,,500,"{'logistic__C': 1000000.0, 'pca__n_components': 500, 'logistic__class_weight': None}",5,0.832404693061,0.973657635287,0.854890033501,0.970824163998,0.831794001389,0.975076443551,0.84821860349,0.971830514199,0.839168776867,0.972587936004,5.95079814603,0.277695693436,0.00901763359001,0.0014701310585
9,223.703719139,0.364492464066,0.823719213848,0.999990217286,1000000.0,,1000,"{'logistic__C': 1000000.0, 'pca__n_components': 1000, 'logistic__class_weight': None}",11,0.807943418758,0.999991681366,0.832365945174,0.999989851266,0.815083460429,0.99998976808,0.829831593254,0.999989851266,0.833371651624,0.999989934453,5.78535074404,0.0252835933617,0.0102834687483,7.33927966094e-07
10,83.0935371876,0.979553604126,0.841178138261,0.972794799459,100000000.0,,500,"{'logistic__C': 100000000.0, 'pca__n_components': 500, 'logistic__class_weight': None}",6,0.832268740449,0.973658606371,0.854816089718,0.970821122867,0.831727500214,0.975076564505,0.847921351081,0.97183051476,0.839157009845,0.97258718879,4.22194720529,0.17031977057,0.008991568584,0.00147111934026
11,173.198067236,0.335589361191,0.823528600434,0.999990278405,100000000.0,,1000,"{'logistic__C': 100000000.0, 'pca__n_components': 1000, 'logistic__class_weight': None}",12,0.807767603928,0.999991681366,0.832332328589,0.999989851266,0.814973894475,0.99998976808,0.829687872275,0.999990156859,0.832881302905,0.999989934453,9.4563072985,0.0429492839541,0.0102421414504,7.1333789792e-07
12,75.8542816639,0.737460041046,0.840462889027,0.972917640487,10000000000.0,,500,"{'logistic__C': 10000000000.0, 'pca__n_components': 500, 'logistic__class_weight': None}",7,0.832365225119,0.973660741924,0.854825097938,0.970821329972,0.832079341782,0.975075691278,0.847894414723,0.971829039754,0.835150365573,0.973201399505,5.46640016187,0.277710179222,0.00922582841378,0.00147441320358
13,107.221996403,0.261740112305,0.825081321902,0.999990246389,10000000000.0,,1000,"{'logistic__C': 10000000000.0, 'pca__n_components': 1000, 'logistic__class_weight': None}",10,0.804435493866,0.999991681366,0.836289312386,0.999989851266,0.821141693412,0.99998976808,0.830011434173,0.999989996781,0.833528675671,0.999989934453,7.66715644851,0.0216139672951,0.0115156739387,7.21618816891e-07
