,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_pca__n_components,param_svc__C,param_svc__class_weight,param_svc__decision_function_shape,param_svc__gamma,param_svc__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
57,833.126652765,64.8928103924,0.858630421323,0.99996068062,2000,10000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",38,0.861985692282,0.999991681366,0.868134931905,0.999958307149,0.825522888297,0.999900084838,0.874103130777,0.999963395293,0.863405463356,0.999989934453,19.2535058229,2.30759366465,0.0170874695137,3.31713267211e-05
58,793.355779552,70.0797786236,0.552574642276,0.999958454197,2000,10000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,12.3490646637,6.56463133711,0.00604030769719,2.70410570877e-05
59,788.292518616,86.6585886002,0.552574642276,0.999958454197,2000,10000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,10.8273531812,18.6256503278,0.00604030769719,2.70410570877e-05
60,442.110884953,36.3732596397,0.847149241097,0.999537132283,2000,100000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 100000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",55,0.835179667026,0.999539010516,0.856326423104,0.999529680299,0.837527597348,0.999513334925,0.845285353234,0.99955042458,0.861427164776,0.999553211095,4.09281685005,5.84004051392,0.0102703513476,1.45642535243e-05
61,474.186168957,49.5546312332,0.866631144357,0.99970135409,2000,100000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 100000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",13,0.852900170909,0.999732234436,0.873653499836,0.999687834314,0.857133134691,0.999719813718,0.866860618233,0.999676854285,0.882608298113,0.999690033695,7.47858318706,4.28879802143,0.0108017350119,2.10025225011e-05
62,920.796288395,79.5756003857,0.866267112567,0.999970994053,2000,100000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",17,0.855232956509,0.999990990502,0.867527774223,0.99997983737,0.853405319371,0.999938111476,0.879582380784,0.999956953698,0.875587131949,0.999989077217,39.3839606719,10.4938431853,0.0105159566462,2.04130277238e-05
63,946.940502024,59.6243429661,0.858707197368,0.999949883059,2000,100000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",36,0.861610285517,0.999991681366,0.868749972166,0.999955002893,0.825200197017,0.999848416463,0.874219953265,0.999964380117,0.863755578873,0.999989934453,14.7554469572,7.83332421667,0.0173097433276,5.26935669954e-05
64,945.057964802,38.7406198025,0.552574642276,0.999958454197,2000,100000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,23.6744263224,2.96999117002,0.00604030769719,2.70410570877e-05
65,905.131410599,59.5494756222,0.552574642276,0.999958454197,2000,100000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,12.0339142625,8.84816895303,0.00604030769719,2.70410570877e-05
66,613.014629793,53.1436977863,0.84709470681,0.999539533525,2000,1000000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 1000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",56,0.83340800299,0.999542461693,0.856028244389,0.999528883248,0.837982640051,0.999522542874,0.847260291607,0.999548229518,0.860794355012,0.99955555029,11.2126586362,1.37583397645,0.0103718030731,1.21888625445e-05
